(6604)[2018-08-24 10:18:37.857438] [LM_DEBUG]  FirstService
jeckie2:| || |___  |___ \
(6604)[2018-08-24 10:18:37.857438] [LM_DEBUG]  GMSC: <-- initSubService
(6604)[2018-08-24 10:18:37.857438] [LM_DEBUG]  GMSC: --> startSubService
(6604)[2018-08-24 10:18:37.857438] [LM_DEBUG]  GmsService: sending message to Configurator
(6604)[2018-08-24 10:18:37.857438] [LM_DEBUG]  GmsService: sending message - found destination service
(6604)[2018-08-24 10:18:37.857438] [LM_DEBUG]  FirstService, 0x7F67E0
(6604)[2018-08-24 10:18:37.857438] [LM_DEBUG]  GMSC: <-- startSubService
(6604)[2018-08-24 10:18:37.857438] [LM_DEBUG]  CONF: <-- StartAceService
(6604)[2018-08-24 10:18:37.857438] [LM_DEBUG]  CONF: <-- ScanConfiguration
(6604)[2018-08-24 10:18:37.857438] [LM_DEBUG]  CONF: <-- ExecuteTask
(6604)[2018-08-24 10:18:37.857438] [LM_DEBUG]  CONF: <-- HandleAceMessage
(6604)[2018-08-24 10:18:37.857438] [LM_DEBUG]  CONF: --> HandleAceMessage
(6604)[2018-08-24 10:18:37.857438] [LM_DEBUG]  SERVICE_STATUS_CHANGED
(6604)[2018-08-24 10:18:37.857438] [LM_DEBUG]  CONF: --> ChangeServiceState
(6604)[2018-08-24 10:18:37.857438] [LM_DEBUG]  AsyncActivationManager: refreshing on operation, waiting 7
(6604)[2018-08-24 10:18:37.857438] [LM_DEBUG]  CONF: --> StartAceService
(6604)[2018-08-24 10:18:37.858436] [LM_DEBUG]  Checking signature for configuration file EventManager.dll
(6604)[2018-08-24 10:18:37.858436] [LM_DEBUG]  Verifying signature
(6604)[2018-08-24 10:18:37.912933] [LM_DEBUG]  VerifyFileSignature: The file is signed and the signature was verified.
(6604)[2018-08-24 10:18:37.912933] [LM_DEBUG]  Verifying certificate name
(6604)[2018-08-24 10:18:37.913928] [LM_DEBUG]  VerifyCertificateName: File is signed by Intel
(6604)[2018-08-24 10:18:37.913928] [LM_DEBUG]  Checking version for configuration file EventManager.dll
(6604)[2018-08-24 10:18:37.915056] [LM_DEBUG]  GetAppVersion: Got version: 11.7.0.1054
(6604)[2018-08-24 10:18:37.915056] [LM_DEBUG]  CompareVersions: C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\LMS\EventManager.dll version is equal or newer than LMS.
(6604)[2018-08-24 10:18:37.915056] [LM_DEBUG]  Version is valid
(6604)[2018-08-24 10:18:37.915669] [LM_DEBUG]  GMSC: --> initSubService
(6604)[2018-08-24 10:18:37.915669] [LM_DEBUG]  EventManager
(6604)[2018-08-24 10:18:37.915669] [LM_DEBUG]  GMSC: <-- initSubService
(6604)[2018-08-24 10:18:37.915669] [LM_DEBUG]  GMSC: --> startSubService
(6604)[2018-08-24 10:18:37.915669] [LM_DEBUG]  GmsService: sending message to Configurator
(6604)[2018-08-24 10:18:37.915669] [LM_DEBUG]  GmsService: sending message - found destination service
(6604)[2018-08-24 10:18:37.915669] [LM_DEBUG]  EventManager, 0x7F6860
(6604)[2018-08-24 10:18:37.915669] [LM_DEBUG]  GMSC: <-- startSubService
(6604)[2018-08-24 10:18:37.915669] [LM_DEBUG]  CONF: <-- StartAceService
(6604)[2018-08-24 10:18:37.915669] [LM_DEBUG]  CONF: <-- ChangeServiceState Status: 1
(6604)[2018-08-24 10:18:37.915669] [LM_DEBUG]  CONF: <-- HandleAceMessage
(6604)[2018-08-24 10:18:37.915669] [LM_DEBUG]  CONF: --> HandleAceMessage
(6604)[2018-08-24 10:18:37.915669] [LM_DEBUG]  SERVICE_STATUS_CHANGED
(6604)[2018-08-24 10:18:37.915669] [LM_DEBUG]  CONF: --> ChangeServiceState
